prompt_technik,model_name,total_evaluated,completion_evaluation,compilable_evaluation,code_bleu_average_score.bleu_score,code_bleu_average_score.ngram_match_score,code_bleu_average_score.weighted_ngram_match_score,code_bleu_average_score.syntax_match_score,code_bleu_average_score.dataflow_match_score,codeBert_average_score.codeBert_average_precision,codeBert_average_score.codeBert_average_recall,codeBert_average_score.codeBert_average_f1
ToT,llama-guard-3-8b,50,0.08,0.62,0.3942710790233106,0.0040521010075612145,0.24636554841901456,0.32666666666666666,0.0,0.7148651802539825,0.4638916480541229,0.5622440135478973
ToT,llama3-groq-8b-8192-tool-use-preview,50,0.08,0.36,0.35475619534656516,0.1587374323886362,0.24024047325473016,0.4560784906795534,0.4839683850633408,0.7826733565330506,0.7324123644828796,0.7559593224525452
ToT,llama3-8b-8192,50,0.1,0.38,0.3816218431519769,0.2176740423750104,0.31379407855654046,0.5390560563960701,0.45596319528028656,0.8294959390163421,0.7691720533370972,0.7976411342620849
ToT,gemma2-9b-it,50,0.02,0.46,0.3778868484019342,0.2090081009403756,0.26911776781869917,0.5432039330365309,0.490217591812131,0.8043153667449952,0.7953754997253418,0.79901393532753
ToT,llama3-groq-70b-8192-tool-use-preview,50,0.14,0.6,0.34384099966444626,0.1965597212037883,0.2532475828558996,0.5046720140902827,0.40088468050781434,0.8113428926467896,0.7886899697780609,0.7991389870643616
ToT,llama3-70b-8192,50,0.08,0.48,0.4181035692186547,0.26040633501484456,0.34466949877900943,0.5578587659587565,0.5094796771220081,0.8356449806690216,0.784056327342987,0.8085364460945129
ToT,mixtral-8x7b-32768,50,0.14,0.4,0.35108273284398495,0.19431052536527144,0.2573902360669699,0.49574949759099474,0.4368806723527037,0.8070388007164001,0.7931845736503601,0.7990796315670013
ToT,llama-3.1-70b-versatile,50,0.06,0.3,0.3985352249683117,0.2692709798786925,0.3271147100919605,0.5561658225297338,0.4415893873728599,0.8345960688591003,0.8276289129257202,0.8301499724388123
ToT,gemma-7b-it,50,0.1,0.72,0.3629149134809821,0.21139989632043168,0.3072036668849086,0.5026220200493215,0.4304340706692665,0.8213438475131989,0.7832131564617157,0.8013881731033325
ToT,gpt35,50,0.36,0.68,0.3313191285972346,0.2043705591142883,0.25897079643749743,0.481023422574169,0.3809117362629837,0.7947013998031616,0.7817464601993561,0.7875713956356049
