prompt_technik,model_name,total_evaluated,completion_evaluation,compilable_evaluation,code_bleu_average_score.bleu_score,code_bleu_average_score.ngram_match_score,code_bleu_average_score.weighted_ngram_match_score,code_bleu_average_score.syntax_match_score,code_bleu_average_score.dataflow_match_score,codeBert_average_score.codeBert_average_precision,codeBert_average_score.codeBert_average_recall,codeBert_average_score.codeBert_average_f1
Zero_shot,llama3-groq-8b-8192-tool-use-preview,50,0.08,0.66,0.3862468864991332,0.20756467039925547,0.3085313614504216,0.5221401704759765,0.5067513436708793,0.8218525314331054,0.7606448483467102,0.7895071983337403
Zero_shot,llama3-8b-8192,50,0.14,0.4,0.39833083155184634,0.24938452310099848,0.3256713008181385,0.5480059547105872,0.4702615475776611,0.8330435800552368,0.7800901758670807,0.8053966927528381
Zero_shot,gemma-7b-it,50,0.1,0.54,0.4033382095957947,0.26559708961551676,0.3557770370220399,0.5207545311331337,0.4712241806124884,0.8521346008777618,0.8197966182231903,0.8352004051208496
Zero_shot,llama3-groq-70b-8192-tool-use-preview,50,0.12,0.48,0.3420183368899079,0.1662527365670478,0.2315384339427052,0.4732297986853247,0.3570523783645539,0.804310804605484,0.7730980479717254,0.7871908235549927
Zero_shot,llama-3.1-70b-versatile,50,0.08,0.56,0.4024902800808793,0.2676103971953843,0.3311138114165403,0.5579361755301369,0.45330073618145567,0.8362521076202393,0.8222660577297211,0.828159646987915
Zero_shot,llama-guard-3-8b,50,0.08,0.78,0.3835799572822998,0.0040521010075612145,0.22872926658317655,0.30153846153846153,0.02,0.712771406173706,0.469291370511055,0.5653769588470459
Zero_shot,llama3-70b-8192,50,0.24,0.6,0.4182921690556328,0.2752423198932442,0.3576133139356388,0.5592060491830152,0.48110699321063294,0.8398835587501526,0.7834269177913665,0.8102292621135712
Zero_shot,mixtral-8x7b-32768,50,0.14,0.64,0.3902764431150482,0.2539888292104684,0.3068922569977123,0.5561158006261522,0.4441088856258601,0.8422551918029785,0.8472525179386139,0.8437952542304993
Zero_shot,gpt35,50,0.58,0.96,0.40127037880511374,0.251416968461031,0.31082481698222036,0.5893773608437397,0.4534623689334637,0.8256327688694001,0.8099679446220398,0.8168431699275971
Zero_shot,gemma2-9b-it,50,0.36,0.9,0.42398999307749413,0.27885424868594066,0.36911964834103395,0.5665969601024387,0.4813891151805634,0.8530058646202088,0.83566725730896,0.8434679853916168
